"filename", "language", "Python", "JavaScript", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\Camera.js", "JavaScript", 0, 49, 0, 0, 0, 6, 9, 64
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\CelestialBody.js", "JavaScript", 0, 97, 0, 0, 0, 3, 12, 112
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\SolarSystem.js", "JavaScript", 0, 44, 0, 0, 0, 19, 5, 68
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\exportCelestialBodies.py", "Python", 323, 0, 0, 0, 0, 14, 12, 349
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\index.html", "HTML", 0, 0, 0, 131, 0, 0, 22, 153
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\main.js", "JavaScript", 0, 272, 0, 0, 0, 61, 30, 363
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\moons.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\notes.md", "Markdown", 0, 0, 14, 0, 0, 0, 11, 25
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\orbits.json", "JSON", 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\simulationWorker.js", "JavaScript", 0, 79, 0, 0, 0, 7, 9, 95
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\test.py", "Python", 27, 0, 0, 0, 0, 4, 10, 41
"Total", "-", 350, 541, 14, 131, 3, 114, 121, 1274